fiscal_year,service,department,program,expense_category,fund,fund_type,expense_type,description,recommended_amount,approved_amount
2013,Utilities & Transportation,Public Utilities,Other Operating,Pre-Capital Planning & Development,General Fund,Tax-Supported Fund,Operating Expense,Pre-Capital Planning & Development,0,4923983
2013,Utilities & Transportation,Public Utilities,Other Operating,Project Delivery,General Fund,Tax-Supported Fund,Operating Expense,Project Delivery,0,16520055.99
2013,Utilities & Transportation,Public Utilities,Other Operating,Utility Systems Management,General Fund,Tax-Supported Fund,Operating Expense,Utility Systems Management,0,37267627.68
2013,Utilities & Transportation,Public Utilities,Protection of Beneficial Uses,Protection of Beneficial Uses,General Fund,Tax-Supported Fund,Operating Expense,Protection of Beneficial Uses,0,5107999.501
2013,Utilities & Transportation,Public Utilities,Rehabilitation,Rehabilitation,General Fund,Tax-Supported Fund,Operating Expense,Rehabilitation,0,9190497.599
2013,Utilities & Transportation,Public Utilities,Rehabilitation and Heavy Equipment,Rehabilitation and Heavy Equipment,General Fund,Tax-Supported Fund,Operating Expense,Rehabilitation and Heavy Equipment,0,80482.6103
2013,Utilities & Transportation,Public Utilities,Sediments,Sediments,General Fund,Tax-Supported Fund,Operating Expense,Sediments,0,1678965.429
2013,Utilities & Transportation,Public Utilities,Shared Cost Projects,Shared Cost Projects,General Fund,Tax-Supported Fund,Operating Expense,Shared Cost Projects,0,28703129.46
2013,Utilities & Transportation,Public Utilities,Technology,Technology,General Fund,Tax-Supported Fund,Operating Expense,Technology,0,23666940.3
2013,Utilities & Transportation,Public Utilities,Transmission,Transmission,General Fund,Tax-Supported Fund,Operating Expense,Transmission,0,1702752.74
2013,Utilities & Transportation,Public Utilities,Water Quality & Treatment,Water Quality & Treatment,General Fund,Tax-Supported Fund,Operating Expense,Water Quality & Treatment,0,3333857.379
2013,Utilities & Transportation,Public Utilities,Water Resources,Water Resources,General Fund,Tax-Supported Fund,Operating Expense,Water Resources,0,6682957.3
2013,Utilities & Transportation,Public Utilities,Watershed Stewardship,Watershed Stewardship,General Fund,Tax-Supported Fund,Operating Expense,Watershed Stewardship,0,2999.6952
2012,Utilities & Transportation,Public Utilities,Administration,Administration,General Fund,Tax-Supported Fund,Operating Expense,Administration,0,37608112.61
2012,Utilities & Transportation,Public Utilities,Administration,General and Administrative Credit,General Fund,Tax-Supported Fund,Operating Expense,General and Administrative Credit,0,-18091493.62
2012,Utilities & Transportation,Public Utilities,Combined Sewer Overflows,Combined Sewer Overflows,General Fund,Tax-Supported Fund,Operating Expense,Combined Sewer Overflows,0,26887629.51
2012,Utilities & Transportation,Public Utilities,Customer Service,Customer Service,General Fund,Tax-Supported Fund,Operating Expense,Customer Service,0,30746274.05
2012,Utilities & Transportation,Public Utilities,Distribution,Distribution,General Fund,Tax-Supported Fund,Operating Expense,Distribution,0,15194278.88
2012,Utilities & Transportation,Public Utilities,"Flooding, Sewer Back-up, and Landslides","Flooding, Sewer Back-up, and Landslides",General Fund,Tax-Supported Fund,Operating Expense,"Flooding, Sewer Back-up, and Landslides",0,24186341.43
2012,Utilities & Transportation,Public Utilities,General Expense,Debt Service,General Fund,Tax-Supported Fund,Operating Expense,Debt Service,0,131574651
2012,Utilities & Transportation,Public Utilities,General Expense,Other General Expenses,General Fund,Tax-Supported Fund,Operating Expense,Other General Expenses,0,263071885.3
2012,Utilities & Transportation,Public Utilities,General Expense,Taxes,General Fund,Tax-Supported Fund,Operating Expense,Taxes,0,91206149.04
2012,Utilities & Transportation,Public Utilities,Habitat Conservation Program,Habitat Conservation Program,General Fund,Tax-Supported Fund,Operating Expense,Habitat Conservation Program,0,4912916.123
2012,Utilities & Transportation,Public Utilities,New Facilities,New Facilities,General Fund,Tax-Supported Fund,Operating Expense,New Facilities,0,13845158.99
2012,Utilities & Transportation,Public Utilities,Other Operating,Field Operations,General Fund,Tax-Supported Fund,Operating Expense,Field Operations,0,55842768.15
2012,Utilities & Transportation,Public Utilities,Other Operating,Pre-Capital Planning & Development,General Fund,Tax-Supported Fund,Operating Expense,Pre-Capital Planning & Development,0,4084893.545
2012,Utilities & Transportation,Public Utilities,Other Operating,Project Delivery,General Fund,Tax-Supported Fund,Operating Expense,Project Delivery,0,17100387.95
2012,Utilities & Transportation,Public Utilities,Other Operating,Utility Systems Management,General Fund,Tax-Supported Fund,Operating Expense,Utility Systems Management,0,38307259.18
2012,Utilities & Transportation,Public Utilities,Protection of Beneficial Uses,Protection of Beneficial Uses,General Fund,Tax-Supported Fund,Operating Expense,Protection of Beneficial Uses,0,4799700.501
2012,Utilities & Transportation,Public Utilities,Rehabilitation,Rehabilitation,General Fund,Tax-Supported Fund,Operating Expense,Rehabilitation,0,12622928.6
2012,Utilities & Transportation,Public Utilities,Rehabilitation and Heavy Equipment,Rehabilitation and Heavy Equipment,General Fund,Tax-Supported Fund,Operating Expense,Rehabilitation and Heavy Equipment,0,396999.6103
2012,Utilities & Transportation,Public Utilities,Sediments,Sediments,General Fund,Tax-Supported Fund,Operating Expense,Sediments,0,5594648.429
2012,Utilities & Transportation,Public Utilities,Shared Cost Projects,Shared Cost Projects,General Fund,Tax-Supported Fund,Operating Expense,Shared Cost Projects,0,32107747.46
2012,Utilities & Transportation,Public Utilities,Technology,Technology,General Fund,Tax-Supported Fund,Operating Expense,Technology,0,11838071.3
2012,Utilities & Transportation,Public Utilities,Transmission,Transmission,General Fund,Tax-Supported Fund,Operating Expense,Transmission,0,1343331.74
2012,Utilities & Transportation,Public Utilities,Water Quality & Treatment,Water Quality & Treatment,General Fund,Tax-Supported Fund,Operating Expense,Water Quality & Treatment,0,6613000.379
2012,Utilities & Transportation,Public Utilities,Water Resources,Water Resources,General Fund,Tax-Supported Fund,Operating Expense,Water Resources,0,5616275.3
2012,Utilities & Transportation,Public Utilities,Watershed Stewardship,Watershed Stewardship,General Fund,Tax-Supported Fund,Operating Expense,Watershed Stewardship,0,1827597.695
2011,Utilities & Transportation,Public Utilities,Administration,Administration,General Fund,Tax-Supported Fund,Operating Expense,Administration,0,34657291.8
2011,Utilities & Transportation,Public Utilities,Administration,General and Administrative Credit,General Fund,Tax-Supported Fund,Operating Expense,General and Administrative Credit,0,-22254277.74
2011,Utilities & Transportation,Public Utilities,Combined Sewer Overflows,Combined Sewer Overflows,General Fund,Tax-Supported Fund,Operating Expense,Combined Sewer Overflows,0,17806875
2011,Utilities & Transportation,Public Utilities,Control Structures,Control Structures,General Fund,Tax-Supported Fund,Operating Expense,Control Structures,0,0
2011,Utilities & Transportation,Public Utilities,Customer Service,Customer Service,General Fund,Tax-Supported Fund,Operating Expense,Customer Service,0,30182185.33
2011,Utilities & Transportation,Public Utilities,Distribution,Distribution,General Fund,Tax-Supported Fund,Operating Expense,Distribution,0,20491716
2011,Utilities & Transportation,Public Utilities,"Flooding, Sewer Back-up, and Landslides","Flooding, Sewer Back-up, and Landslides",General Fund,Tax-Supported Fund,Operating Expense,"Flooding, Sewer Back-up, and Landslides",0,35069776
2011,Utilities & Transportation,Public Utilities,General Expense,Debt Service,General Fund,Tax-Supported Fund,Operating Expense,Debt Service,0,124932233.2
2011,Utilities & Transportation,Public Utilities,General Expense,Other General Expenses,General Fund,Tax-Supported Fund,Operating Expense,Other General Expenses,0,263777381.4
2011,Utilities & Transportation,Public Utilities,General Expense,Taxes,General Fund,Tax-Supported Fund,Operating Expense,Taxes,0,87413557.8
2011,Utilities & Transportation,Public Utilities,Habitat Conservation Program,Habitat Conservation Program,General Fund,Tax-Supported Fund,Operating Expense,Habitat Conservation Program,0,11122687
2011,Utilities & Transportation,Public Utilities,Landslide Mitigation & Special Programs,Landslide Mitigation & Special Programs,General Fund,Tax-Supported Fund,Operating Expense,Landslide Mitigation & Special Programs,0,0
2011,Utilities & Transportation,Public Utilities,Low Impact Development,Low Impact Development,General Fund,Tax-Supported Fund,Operating Expense,Low Impact Development,0,0
2011,Utilities & Transportation,Public Utilities,New Facilities,New Facilities,General Fund,Tax-Supported Fund,Operating Expense,New Facilities,0,25710121
2011,Utilities & Transportation,Public Utilities,Other Operating,Field Operations,General Fund,Tax-Supported Fund,Operating Expense,Field Operations,0,54645572.14
2011,Utilities & Transportation,Public Utilities,Other Operating,Pre-Capital Planning & Development,General Fund,Tax-Supported Fund,Operating Expense,Pre-Capital Planning & Development,0,4729193.867
2011,Utilities & Transportation,Public Utilities,Other Operating,Project Delivery,General Fund,Tax-Supported Fund,Operating Expense,Project Delivery,0,15335119.59
2010,Utilities & Transportation,Public Utilities,Other Operating,Field Operations,General Fund,Tax-Supported Fund,Operating Expense,Field Operations,0,54283758.39
2011,Utilities & Transportation,Public Utilities,Other Operating,Utility Systems Management,General Fund,Tax-Supported Fund,Operating Expense,Utility Systems Management,0,37280123.68
2011,Utilities & Transportation,Public Utilities,Protection of Beneficial Uses,Protection of Beneficial Uses,General Fund,Tax-Supported Fund,Operating Expense,Protection of Beneficial Uses,0,2283081
2011,Utilities & Transportation,Public Utilities,Rehabilitation,Rehabilitation,General Fund,Tax-Supported Fund,Operating Expense,Rehabilitation,0,6471519
2011,Utilities & Transportation,Public Utilities,Rehabilitation and Heavy Equipment,Rehabilitation and Heavy Equipment,General Fund,Tax-Supported Fund,Operating Expense,Rehabilitation and Heavy Equipment,0,262140
2011,Utilities & Transportation,Public Utilities,Sediments,Sediments,General Fund,Tax-Supported Fund,Operating Expense,Sediments,0,6350146
2011,Utilities & Transportation,Public Utilities,Shared Cost Projects,Shared Cost Projects,General Fund,Tax-Supported Fund,Operating Expense,Shared Cost Projects,0,28712545
2011,Utilities & Transportation,Public Utilities,Stormwater & Flood Control,Stormwater & Flood Control,General Fund,Tax-Supported Fund,Operating Expense,Stormwater & Flood Control,0,0
2011,Utilities & Transportation,Public Utilities,Technology,Technology,General Fund,Tax-Supported Fund,Operating Expense,Technology,0,10247790
2011,Utilities & Transportation,Public Utilities,Transmission,Transmission,General Fund,Tax-Supported Fund,Operating Expense,Transmission,0,1688100
2011,Utilities & Transportation,Public Utilities,Wastewater Conveyance,Wastewater Conveyance,General Fund,Tax-Supported Fund,Operating Expense,Wastewater Conveyance,0,0
2011,Utilities & Transportation,Public Utilities,Water Quality & Treatment,Water Quality & Treatment,General Fund,Tax-Supported Fund,Operating Expense,Water Quality & Treatment,0,18329399
2011,Utilities & Transportation,Public Utilities,Water Resources,Water Resources,General Fund,Tax-Supported Fund,Operating Expense,Water Resources,0,6516169
2011,Utilities & Transportation,Public Utilities,Watershed Stewardship,Watershed Stewardship,General Fund,Tax-Supported Fund,Operating Expense,Watershed Stewardship,0,1141554
2010,Utilities & Transportation,Public Utilities,Administration,Administration,General Fund,Tax-Supported Fund,Operating Expense,Administration,0,32503790.7
2010,Utilities & Transportation,Public Utilities,Administration,General and Administrative Credit,General Fund,Tax-Supported Fund,Operating Expense,General and Administrative Credit,0,-23329735.84
2010,Utilities & Transportation,Public Utilities,Combined Sewer Overflows,Combined Sewer Overflows,General Fund,Tax-Supported Fund,Operating Expense,Combined Sewer Overflows,0,24171960
2010,Utilities & Transportation,Public Utilities,Control Structures,Control Structures,General Fund,Tax-Supported Fund,Operating Expense,Control Structures,0,0.0429
2010,Utilities & Transportation,Public Utilities,Customer Service,Customer Service,General Fund,Tax-Supported Fund,Operating Expense,Customer Service,0,31206156.66
2010,Utilities & Transportation,Public Utilities,Distribution,Distribution,General Fund,Tax-Supported Fund,Operating Expense,Distribution,0,22379999.59
